cat_feature_1,cat_feature_2,cat_feature_3,cat_feature_4,cat_feature_5,cat_feature_6,cont_feature_1,cont_feature_2,cont_feature_3,cont_feature_4,cont_feature_5,cont_feature_6,target
5,3,1,5,1,3,12.380858639557246,68.12871971456285,72.70491477120095,48.450929386172945,24.74076515041842,76.1520246242017,1
1,3,0,8,1,1,31.102398445941613,15.658255474614213,12.743425996939383,27.24090153845953,88.88279637489043,65.73306289250654,1
8,3,1,0,2,1,4.983922160891852,90.74501484291422,29.058442470837733,99.49244663045303,39.620288932858806,44.555117097695096,1
7,2,1,7,2,2,46.055035039758465,45.52236052745147,59.319839810792665,92.06604277732147,94.78681809362173,58.58031555450803,0
8,3,0,2,2,2,15.935009891302176,70.99851640566524,14.004067687967902,86.19126011855431,47.77548161480624,92.65195058767411,0
2,3,0,6,1,2,34.18202274081364,95.26368140397484,83.47051998851434,64.51442499702908,18.008994896439713,88.64888551526123,0
7,3,1,8,2,0,83.86846041885377,76.61303428546813,63.20091013118972,28.853705978418354,98.31060459804922,62.8720434218878,0
7,3,1,0,1,1,20.35643447934483,34.290131697885506,69.495779455852,9.798783747980188,32.73355608282432,72.16248071079964,1
7,1,1,4,2,0,92.79606325861131,33.85082662801959,28.531292296731927,99.6271124137703,50.35329306068383,18.904738384659648,0
8,2,1,8,0,1,5.554318619187859,59.25594142135695,19.384735506303418,77.9790380561797,21.62969502456239,61.85229395471538,0
4,0,0,3,0,1,93.87897137763908,36.61706970816603,97.76286235660307,73.16347525777893,55.58400587099731,20.289320072906147,0
2,3,0,3,1,3,7.090766908235691,3.2235793346967023,56.882811492809935,31.256970873917933,54.42045655650251,8.35980224715227,1
6,0,1,6,1,0,7.763304043557273,51.76458948204179,52.644732304847416,34.72763867696297,87.26017089655753,13.889923375573543,0
4,0,0,4,2,3,46.67722820691377,20.653017067586845,13.220540920372647,12.239816122601132,51.41553333600628,51.41393032714914,0
3,2,0,8,1,1,40.57055223997631,71.58877495546739,60.189414945327314,18.48508426981307,30.800693604785955,87.64768628598601,0
0,2,1,8,1,0,35.64013988227911,24.681858185962437,65.74017599380531,2.12578453296296,5.763000045834243,2.0493006680573855,0
7,1,1,9,2,2,36.04755878186203,62.65858230702294,10.17710025836669,76.07082114147155,66.88016409519221,73.18804416460407,0
5,0,0,0,0,2,56.57001458876126,81.91325647022715,70.86256934967227,85.89560289462983,65.91232730711894,34.66843659476084,0
5,1,1,0,1,2,31.759735622388796,31.9114412212113,98.91908727199518,30.187204797291844,17.01877612356828,78.7103145765329,1
6,0,1,6,1,3,71.83635194439884,6.649305079928192,21.76323342978752,42.323622706009914,40.081191309502,83.63634282700913,0
6,2,0,5,1,0,91.19925331720732,37.761286226097646,1.0587464474825725,20.555802699744575,54.20192297126087,2.536063451115822,0
8,2,0,6,0,3,4.661836916110063,66.0851226277213,23.70613915173162,68.24429885038363,90.97546665639744,63.369775909532635,1
2,1,1,5,2,0,27.757985747537827,90.86458064831174,8.363642675450455,1.4026394158941913,16.415851540673188,11.023831028440956,0
5,1,1,8,0,0,50.087330022470134,57.47988125248978,43.40003894409007,84.68361629607382,97.02549884985183,77.11478612794852,0
8,0,1,7,2,0,12.120737879832987,97.15855757053906,88.44586426994513,92.03251334456685,98.17474214292959,12.732508927851748,1
1,0,0,2,2,3,79.42696476458431,34.3422514910904,17.00063645497558,30.112132750734677,79.8194841225093,47.32581967504912,0
