cat_feature_1,cat_feature_2,cat_feature_3,cat_feature_4,cat_feature_5,cat_feature_6,cat_feature_7,cat_feature_8,cat_feature_9,cat_feature_10,cat_feature_11,cat_feature_12,cat_feature_13,cat_feature_14,cat_feature_15,cont_feature_1,cont_feature_2,cont_feature_3,cont_feature_4,cont_feature_5,cont_feature_6,cont_feature_7,cont_feature_8,cont_feature_9,cont_feature_10,cont_feature_11,cont_feature_12,cont_feature_13,cont_feature_14,cont_feature_15,target
0,3,0,7,0,3,0,2,4,1,7,3,3,1,8,67.90384020910308,21.505326378694345,57.16633054182788,9.863557914495914,92.6819559661674,88.20590342028206,3.169321986209128,78.4975868680379,13.03626489589842,66.00774874044905,69.5213320116104,55.79072730000667,28.981200459646793,53.14879335088074,7.983274317745003,0
1,3,1,4,2,3,2,2,2,1,1,3,2,1,6,2.13722599863847,76.50983861364494,31.049302188571083,13.69516477007301,42.352215153513264,80.19995116492899,99.5889301326101,74.85428929489763,4.224513078414727,36.158930326792806,56.42832225471567,16.446639780391216,26.15792360922319,31.009928243424678,96.46074159923587,1
3,3,3,4,0,3,2,1,2,2,1,2,0,2,5,1.821279235548956,43.22778382961698,48.06493837544097,0.011027976759825364,67.19614380166684,5.869173188644727,40.5326503983092,38.50402399988299,33.137585912419986,78.51483516897028,83.67198062742503,81.83008007704382,57.541596290953414,3.35267645236087,26.429273354453354,1
4,3,4,4,1,2,3,0,6,2,1,3,3,1,5,69.48286690298168,30.854154328619654,44.495873325821066,22.18456583560676,18.433084708831473,28.793231179891322,91.98662428851803,5.374149695294328,93.36139009930112,54.22610595214968,95.50882436865568,92.83048740642506,31.849157588981836,50.42351387650196,54.930840050262496,0
1,3,1,0,0,4,5,2,1,2,8,2,2,1,1,3.797297825161461,30.76332744800738,43.96391806852645,23.144727323445945,58.34035564660793,28.097026495093314,10.719292456631813,16.820192299264658,2.9816935568319436,99.37176018985302,44.687234571667325,30.748997067065254,62.05637707886266,87.50766142480775,78.3782208990804,1
5,1,2,6,1,3,4,1,4,0,8,3,1,0,5,27.28356682427311,58.882652213537824,33.28651739139862,15.830123723414003,80.40709952805668,78.3313919203197,39.089903559922426,6.277400564619007,98.6295615129559,78.073473691361,64.48766787153197,89.63729405231182,74.99224404310685,3.3015274563075847,1.0512674230022556,1
0,3,3,1,0,3,5,2,3,2,4,1,5,2,5,43.76950702788909,21.219698391578213,52.283852764738825,21.89769660482811,57.63773279201515,29.956274027106588,26.005604674803863,59.943589500443984,70.46882242501556,11.904822985100427,57.18962760882816,6.863662473947329,47.63274603435986,48.157169581302284,62.09364663830107,0
5,1,1,8,0,3,5,2,0,2,6,0,5,1,4,16.9444487873432,37.46039604301973,24.919458835015607,7.900917457497247,87.36314594885344,70.55670054065484,63.29101132286957,28.19455341791247,67.32618376830646,93.42298437366262,55.26739080283637,89.41372468899318,99.10537431260492,78.71390779456742,4.805075767841749,0
1,1,0,5,1,3,4,1,6,0,5,1,3,2,4,3.443846777191506,31.529469292430445,10.764449003107934,94.82866346695383,49.33233665724062,32.880238002193174,55.25831872982832,60.62342561728955,53.61752786563954,73.5752085000222,56.14254177588576,17.0036599101432,78.72450335536946,2.087152050887553,79.05779740447186,1
2,1,4,6,1,3,0,0,1,2,2,1,0,0,7,17.131945756452495,89.15417053153732,62.08719844563384,13.86031379276449,29.00427197540958,92.36261030678993,74.25600039845632,9.103150553240425,87.07620714648291,25.502402301671523,4.284528950785138,99.78687508587737,21.932400668605425,5.866761876114957,63.6012205080173,1
0,1,2,2,2,2,4,0,0,2,1,1,3,0,6,96.08943888991942,8.812091930758449,29.356060286328656,46.755347770930456,38.816784408611916,83.91992903422722,19.221140131312552,16.865264371783972,45.39279557710969,44.09726823434384,97.9663695687107,92.0729132259758,19.663138312425165,71.80238918578623,80.15693360349668,1
1,1,2,6,1,1,3,1,7,1,7,1,3,1,2,11.08418444066588,30.76583706205578,11.048900002548667,87.83605850013217,22.846290851901685,14.14786269229854,15.742567728132029,25.344561237141296,58.80620926454567,89.5150460334379,34.62832186544007,97.85640189955738,60.22357070975466,53.76878911736288,48.33585130144813,0
0,2,1,7,1,0,2,2,5,0,1,2,1,0,8,3.522574366926823,64.65418288161608,31.53890584553626,37.26714717260011,81.47903383487422,81.87339623361805,13.236271106331577,90.64554611107818,29.084920117086245,96.32126249136007,88.43734302010243,12.729245734694317,20.566157547146346,71.17457310393762,94.80722516380419,1
2,2,0,1,2,3,2,2,3,0,0,3,0,2,7,23.552043407876777,43.467682281682166,81.07702848079715,49.08528238122408,86.58114899262013,50.47568546418564,85.98455982324228,13.733593843864899,8.34136536894442,16.091247368375537,11.710672919367038,68.61423809928272,77.73216443114401,55.63970076999551,42.34547489415347,0
0,2,3,3,2,2,1,1,4,1,4,0,2,1,5,68.98709776935121,85.54669997157384,52.50946803522265,98.01068012992687,48.55180545499997,33.39194387183656,97.81603129480673,29.645091569634797,12.18026517957047,27.078913331249222,95.24827581916166,19.492083273262807,68.5553212492047,0.5014127525729828,68.90946851307919,0
4,3,3,2,0,4,0,1,4,0,4,2,1,2,3,23.869607304971453,21.860820141251168,42.842299395323245,31.286437695412893,88.97151654160372,67.87268770829408,41.57431378055435,74.07774941715441,21.075556571477605,46.28720771133303,83.21399488589311,68.0330649012967,87.76896508142168,82.14237478174854,10.22512163433179,0
3,0,3,5,0,4,5,2,3,0,4,3,2,1,5,77.24146576257759,37.11104313858938,45.09003236857669,80.60880244957858,90.7875279241015,91.52867497183006,75.85769147599095,89.26792796596708,64.00207828435903,51.48984571132378,9.069624723545633,26.25877343367805,75.96664404988238,16.39146123287715,59.03033410974362,0
0,0,3,5,1,2,0,0,5,0,3,3,2,2,0,74.71968035630296,31.15509053189879,21.84663720839064,69.7415481196737,40.533553447186854,14.07923731878854,25.50807830013928,74.02118107079029,2.6154207326778867,53.23316012265893,98.63937713116043,27.290977339097367,3.6613559862701206,87.45877342652236,6.220453760331379,0
4,1,4,1,1,3,3,2,1,2,7,0,4,2,1,37.484108051299735,52.02856714168797,61.66249824902312,14.826977908594808,52.71058651304654,44.69751523062624,70.68329468736955,68.096435229611,88.563941166399,14.982894456837691,26.724295224147866,90.50210735942224,68.09160988411446,67.99533834159854,95.896180915594,0
3,1,1,1,1,1,4,1,6,1,2,3,4,2,7,8.223223603562646,84.9600341776696,57.76047780521545,0.6206951655779336,7.888988019257437,71.70020435196129,1.3597165959132074,77.4127983055677,48.20389543383785,18.500649961239713,54.407818097596284,82.27618643323923,47.616586059768636,18.13833593282673,71.42317300503332,1
0,2,3,5,1,4,4,2,5,2,2,1,1,0,8,95.05950903783057,76.40227554925457,38.95740002081186,32.22363581661121,93.33164020958876,58.5562876385303,21.032739912700073,78.64668895353182,65.13051330009468,46.35155102305848,29.21460070916202,85.06744945969704,99.8261272334663,69.71424094523864,97.10303446949398,0
3,1,2,4,1,3,5,1,1,2,8,3,0,0,2,99.17290205636124,9.975641500847798,89.11130770969419,25.261931448558826,20.87521459662186,17.57561969433984,81.43366130996783,25.17001648535936,17.51317830236473,73.48551670297664,80.40061254715813,53.23775948008702,81.96012756351426,74.43386597048914,96.85482752314849,1
2,0,4,5,0,2,0,1,8,2,7,0,1,2,5,8.842737070807793,6.809869704747607,16.87213271287543,93.00384799072464,93.03515609923758,57.60355754689955,11.885862265378078,53.25084159577206,74.53823387401187,5.737124906286962,21.72428678807632,26.328130574982143,4.248313497403333,81.69337712686672,8.888092364067413,0
1,1,4,4,0,2,5,1,4,1,9,2,2,0,8,13.907146074889276,15.980186061206425,13.840641525511476,64.89652581348436,25.278373908373574,57.69631297992317,55.46743570406682,86.69810560509383,94.07591643607068,25.834756521823998,29.607965357207334,99.87738001928918,56.33954792919028,97.64564139509389,28.419087790272336,0
0,2,4,0,1,2,4,2,7,1,4,2,1,0,3,14.923971603645514,89.1529988226174,83.25227098064514,65.36205695425399,0.30387929885876686,33.223418321557105,86.3760423135618,6.838807619604459,53.02951575981476,12.580633526488928,3.4615825155361657,22.319539619157236,61.69802441453547,23.542085792318435,74.85220159631297,1
4,2,4,0,2,1,5,0,8,0,8,2,3,2,1,25.91048131930539,74.54741554312962,24.31042126924239,97.7878873422976,86.82435735158211,89.70973189377068,47.12326604563013,14.976102644409329,75.54972654018046,33.48257715417454,73.22295955813252,34.85888959477684,40.39403273355274,79.94629665290609,10.769407117017483,0
1,1,2,3,2,4,1,0,6,2,9,0,0,2,5,12.499953188884538,18.45187211782332,81.20498321957169,15.635338780890374,91.55201856969659,63.0467532624434,97.78058444530544,22.789616908130395,33.13452636095009,60.179456489909036,62.70032680566297,45.890434494089774,90.2692299678566,71.13403099395327,20.552767982815613,0
3,0,4,4,2,3,1,0,3,2,8,3,0,0,8,67.37578648310728,67.09406044907365,53.285413853756516,27.234897173215046,6.356952291860118,91.68992361304092,53.02152204050723,9.8782506179648,99.87177391405038,24.078248532081837,18.920855865872312,90.3951053827836,54.814316561202325,15.272188860154202,13.845688802477497,1
5,1,2,5,0,4,1,1,1,2,7,0,2,2,0,32.451788469938336,99.84602336458079,43.88446944935481,57.072542621267054,63.557983912122026,26.59815910955279,20.844562030747614,77.60518938058405,59.55261618567194,78.14050897868216,12.984282226351473,32.32154822473793,74.2436456310739,98.37335988036116,95.96557103194868,0
5,1,0,4,2,2,4,1,0,0,5,1,0,2,5,55.300976698469675,17.812487966120116,13.062861510208235,50.79738625458595,44.09635769048636,84.41472258647697,83.87396227615595,92.35257100746705,62.876807153259904,72.48628383923179,33.63086091094743,48.96366460264344,53.867314496248476,28.67679193081435,4.748345664562947,0
5,3,2,0,1,0,1,1,7,1,7,0,4,1,5,30.950255394542303,11.306020159498342,32.263931957126914,4.911116814964977,67.19117343196692,85.8997089656619,11.091528831187002,68.43904681921758,87.75115873444845,92.42800066402333,73.52025142568954,8.772998170589974,46.34999277551661,3.737718710216853,1.5916498973433946,0
3,2,3,8,1,0,3,2,8,0,7,0,1,2,1,67.28533324754777,38.33984892806994,49.15939240267514,19.428738494552146,25.163696775368173,98.43697087101533,44.67250915443238,34.54597106527009,66.18069551189264,3.702999137600649,33.14860984018723,25.88140491005856,14.670339807875854,57.22014550387955,60.10809822080474,0
1,3,3,2,1,4,4,0,7,0,9,2,1,0,4,0.17263521224918366,60.36297110787579,94.68741140624195,20.614623150399158,84.07734055087826,22.631855351065898,76.03275010657941,29.36236632374779,90.24161257902972,8.20822021063654,17.282313236264237,9.976873785101304,25.15203013293341,71.49122350029758,13.62673250887182,1
5,0,1,7,0,2,5,2,4,1,3,0,0,2,3,20.425471320669942,22.847261324250244,83.20513136383725,47.536062532773904,53.57427183502801,53.25985350779527,57.69877525965993,46.5537759531065,73.9006185448879,14.74725342861417,43.32940859299811,17.735109576038475,17.346811195890254,17.311042983521375,22.099667818499757,1
4,0,3,6,0,4,4,2,6,1,6,2,2,2,1,15.315413436521997,78.6582015198297,56.33876010176723,97.3783520313865,9.37648780438909,70.48652724056157,8.979435654483092,58.57378448397397,2.781908725002802,69.76923014632231,54.739969635901645,90.7925940407168,0.2885981330086995,49.92055931137149,26.201837350707123,0
1,1,3,6,0,2,4,2,0,0,5,1,0,0,3,46.55270548158035,45.81380891499634,47.18643573184406,21.194630275863258,80.42420095306852,89.33299307355773,26.46991400309975,79.17735836343877,70.77187910295417,61.99538395596981,65.53620533504906,20.16917971521964,55.271060267246995,90.27946133498948,93.93558454742235,0
4,2,3,7,2,4,0,0,1,0,8,0,0,2,3,93.40882326775049,92.80739702818421,92.70292104617296,26.877527759309615,68.71759535496777,61.52399378600626,39.1066765529114,85.47972731916998,43.429916464044474,30.124085214188923,43.39427669300457,17.75152454969241,95.59549235362084,65.7122145035949,25.30329842078053,0
1,0,4,2,1,4,3,1,8,1,8,2,1,0,5,26.89587436850833,46.87840308966362,57.047508998957376,20.403605798695644,88.70151573667314,32.70335409230031,95.69335849215292,12.549728238390735,19.07665565903368,33.72618752398901,82.98834977789885,75.29815514891715,0.2989285769533945,92.08079328842128,36.7327851924922,1
1,2,4,8,1,1,3,2,8,1,7,3,0,2,2,82.41222589709162,69.01456350300955,27.880639544281895,9.086876909405373,82.91949825993439,54.663698280220984,50.84565252938271,90.9449720258171,2.5368704457101154,86.28685724872322,66.32104577593782,62.45855358437904,3.476581475454732,77.12024432045943,26.69785379651425,0
4,2,1,7,2,2,2,1,4,2,0,3,5,2,7,64.70570965989717,67.76997559443181,80.46960272389161,36.14433868168982,62.137797023873006,10.013846831935991,40.306204010713905,71.9997222961652,10.15703217583852,87.58913460872851,49.434917699383476,68.75969935062176,72.94126837902897,75.84486660922889,3.9286993668197656,1
3,3,4,7,2,3,5,1,7,2,1,2,0,2,4,59.07754563878338,42.41794285385081,49.79821928802476,9.969803199587712,51.63580384482681,62.162464706489494,6.095726137745794,20.221500660649905,45.66603770313733,27.087625105813416,50.99192330168074,29.375827360409623,6.1988878203140585,21.792029915805855,16.40918517143499,0
2,0,0,2,2,1,1,1,4,2,2,0,2,0,5,85.95970245154126,72.61054633611818,6.905773903671186,94.56266270490168,73.77568570282492,66.42742677859637,29.241624893213036,28.10186864285107,54.42873241363149,44.0978165357691,33.392922850241426,44.64709832873015,94.21678801454946,42.723734721524075,99.76431807843976,1
5,3,0,8,2,2,1,2,3,1,2,0,3,0,2,77.62756280918694,83.90889471988677,14.357459760183144,82.23847550022404,66.17408971024228,86.53934316550176,63.26363523933337,18.536059439369236,29.313030913223525,70.35136886106773,13.639674422296732,35.683190331752144,29.292856803302293,64.35874002559257,8.890025955772995,0
5,3,0,1,0,3,1,1,0,0,5,1,3,0,4,18.25455542548604,70.06233150229399,46.565598734313085,9.791890029412464,51.37147880876418,10.353555414061177,96.7469327386271,75.44808244280911,72.77271672706492,84.36510019505141,87.1199534050996,61.78958612593451,79.76809746720984,29.03366846727271,77.70670396675172,1
0,2,0,2,2,2,3,2,8,0,7,0,0,1,4,7.364149658440966,59.306325228292145,25.378007191101602,70.73145922783128,30.003270786599558,67.15034507095787,47.482398804319246,85.35364192916147,72.22817241536816,34.93007362831726,64.01534037414565,82.12203907620234,90.47974568521582,26.08827986238822,47.90316740961185,1
3,3,0,7,1,2,2,0,5,2,7,3,5,2,0,10.347897451019715,77.30481981388415,16.35935780631209,91.54549616673347,46.77069756543211,84.97752544727652,22.19594698674987,69.84776452539585,90.92656228984278,84.78974857735521,60.827971962371606,41.84829596568848,27.606716133058573,1.7750774300634764,54.9133496610765,1
4,0,3,4,0,3,2,1,8,2,9,2,4,2,2,74.54194895214196,73.17493054103437,22.563823256609094,13.492890449879313,20.40762894958661,68.39665383607007,63.036835469558405,41.505010892352935,78.66289472932444,26.885666537082475,80.00775204176979,90.12839447700067,39.26434712623775,31.868279398323107,44.60715542982198,1
2,1,3,0,1,2,2,0,0,2,0,1,4,1,8,7.968076095552923,44.90840282429968,83.30223921306289,58.98631788388873,98.45572226352205,34.07757314690637,23.32045995159726,72.47632391651065,14.742653658671479,45.1659269005645,30.153200034697235,5.469972082066111,83.47566284029419,88.62907073750533,4.324588185256994,0
0,0,2,4,0,0,5,1,5,2,1,2,3,1,6,20.779819737053117,66.62432925824538,5.284840126754609,81.99078572500844,34.729350012897655,52.8551896240522,90.49013561817341,15.34937596475502,69.81180715086091,46.5040090504771,33.551894280737926,98.82429659464235,72.6238503615179,16.469103775163674,88.60033070397098,1
1,1,2,7,1,2,5,2,8,2,4,1,2,0,7,81.84692255115452,35.5422474689107,7.030692962903117,9.44603594795077,58.04020371073987,27.171095388580124,0.02650499194598588,16.740150055537473,56.316925552101395,17.4593972600671,56.725519984611196,64.1075079854891,40.52353278900457,82.97445920735531,97.14190425390099,0
2,3,1,1,0,4,3,1,4,1,7,2,1,0,7,17.64619719985182,61.06902148384927,93.73979998390566,13.47835389178622,29.203917260579782,50.75421637713304,31.6664602371706,65.93489028991662,24.87952935947829,83.32269782917132,24.307880507466795,38.88051729755727,80.70866666546935,39.11700815767297,97.01148093235237,1
0,3,1,4,2,0,0,1,6,2,7,0,2,2,7,44.086496287165275,43.83977653048585,69.28397218552665,17.97088592892847,8.705265216137981,5.487018920628839,64.79410653100027,97.5830595269915,82.63189207414841,0.5212063450414361,61.53735477867212,53.024594521383285,22.419024229694372,86.35174110931189,13.10844005811278,1
0,0,2,7,0,4,3,2,3,1,4,3,5,1,6,88.5978474351797,96.26250691925085,9.56439263659351,74.89134470507538,13.84105344081158,37.181576044301146,40.97796197593881,3.54834195004482,1.7204647950046281,77.22895696780782,56.273974403192526,28.80190381277489,96.37383399506645,83.5709434856979,45.75026626874871,1
3,0,1,3,0,4,2,0,8,1,1,3,5,1,4,8.10165264301348,40.26034275292677,0.8887839730598923,90.62961936735681,79.74197634500494,44.02472346727598,44.08678494342634,28.829565596262597,35.537330388810894,84.10380523974246,9.260375945924604,85.34550282638172,30.854034832726175,67.91093163027978,58.137317399451405,1
1,1,3,4,1,2,1,0,2,1,0,1,2,2,0,94.83662059290621,76.773674179284,37.49841827318203,65.77609460453671,43.67934404178951,4.967805028394778,42.64285046194718,50.957154224838874,33.962742582615334,96.96039556525905,64.74517252671723,44.89075467541559,41.1788375697253,96.08818418692408,85.26641510500714,1
3,3,1,1,0,3,2,2,1,2,9,1,3,1,2,7.921326803049434,40.750119318526544,55.351425747284225,30.985436651375686,30.844086092297772,27.5481749724482,12.047508447969967,10.5390610682779,92.99755007004266,46.63684543131558,43.942024232726986,61.72987056792769,73.37680413887576,91.5895232075445,93.56551890424896,0
4,2,3,3,2,1,2,2,8,2,9,0,0,1,5,42.26003538833288,68.82707753421188,23.355581912470214,71.38465524147762,67.95222192485878,1.5133978427113837,43.678309698251304,13.451468612004714,61.55580261082619,43.01855199487888,8.40394602665947,69.98542919603335,32.218231267040444,96.6522519123749,51.195407216068155,1
1,1,1,8,0,1,3,2,8,2,6,0,4,1,3,39.48449626968147,90.96248064666044,64.79625067117321,84.47513873535058,10.744558897532086,12.961592723304271,6.617486125669981,61.73586376433916,41.72227820319653,86.28720070241168,21.044196973442343,83.08683430232244,59.82962462156497,87.6682181620129,64.76920245880375,0
4,3,4,8,0,1,2,0,7,2,3,0,0,0,1,98.88615421507232,52.58335090626666,36.050622289648345,64.63965906059144,37.90385453943962,52.772031907175375,94.17638222738631,6.92602440946245,1.299645170409136,31.36540457902166,95.10636892868344,46.11483661310781,67.52261979457109,34.74739577640123,51.470621050975815,0
2,3,3,8,1,2,3,1,3,0,4,2,1,0,6,22.112834931541126,70.83636380310655,35.646273554215504,45.26150061662556,71.83590574443328,3.51815112326056,3.757912966796062,14.887211969731862,3.450182919729261,61.84110352457608,44.96379839059673,70.02655284929489,18.954848795404565,77.38840779889283,76.24919162903286,1
0,3,4,8,2,2,5,2,0,0,8,0,4,2,3,75.34765503814755,65.04043041979223,97.75258731902548,95.50355138952946,39.32350111351243,68.06349273838674,92.409656536649,77.53470699334606,20.602178225997612,39.24001858740499,68.22016728910903,50.64080231379023,45.75275713790297,64.63981373416362,99.01712139956513,0
0,0,0,7,0,4,0,0,6,0,1,1,0,2,5,69.79585934255854,85.82554099451384,80.1208281942486,39.68145511246468,20.66158726415387,48.656646502423165,0.6802592907981797,43.01527091373647,65.41193697911774,16.3300046611211,78.2228273474544,39.94475957764849,39.05605803047768,83.15675618244607,94.89062231262648,0
