Feature1,Feature2,target,Feature3,Feature4
-0.9249595831569646,-0.28850424584206147,0,1,3
0.27157628507192516,0.1434330678420236,0,2,0
-0.6714638735502528,-0.16484422167275442,0,1,0
-1.3719317493146175,1.4031591687016278,1,1,0
-0.6478319954052978,-0.05007828703978173,0,2,0
-1.3785188265208657,-0.45992101755955633,0,3,0
-0.7914413231764363,-0.7280470758815489,0,2,3
0.3152770112184792,-1.5186459543187723,1,1,0
0.23179011395776988,0.5454671736032004,0,4,1
-1.281013584197108,1.8476766783534588,1,1,1
-0.31771325631765995,0.5991501404226824,1,4,0
-0.604341557140428,-0.5345916392576315,0,2,3
-0.5326876696138221,0.14725840159002923,0,4,0
-0.5851600381339948,0.08922552629275071,1,2,0
0.45498591984047204,0.5755777770906869,0,5,3
-2.337983611674543,-1.1175896605635285,0,2,3
-1.0328720359346686,0.09232885313686151,1,5,3
-0.9798223230446059,-0.3461548400004713,0,4,1
-1.2405217248694882,1.8307784571956869,1,5,0
0.7375561119154697,-0.5938360165009993,1,5,1
1.506036407618824,-0.4477993326804024,1,4,0
1.4058926468844946,-0.887356059211379,1,5,3
0.43371679026073545,0.31561298856076553,0,5,0
1.3065387477490542,1.0688151102059165,0,1,3
0.5067838700785783,0.330625400124924,0,5,1
0.06304221863437356,-0.8373468588166282,1,2,1
0.978136454698844,0.38437020039491915,1,3,1
-0.22970011245655086,0.16954808844056163,0,2,3
-0.7130216392390158,-0.19933105655504985,0,4,1
1.0385724766713909,-0.9817473274456443,1,5,1
0.4280993812837875,0.15936594939553933,1,1,0
0.8357087858271943,0.6356936424766801,0,2,1
0.5022733340846646,0.46030271301996034,0,2,3
-0.1994646210078816,0.16371703868870585,0,5,0
0.7287093973730716,-1.0190325539919856,1,4,1
-0.10180019389818826,0.24682081577856707,0,3,1
-1.8883164011130984,-1.515416864427805,0,4,0
0.09440850297145975,0.017510135170434538,0,5,0
0.2713606040801094,0.12171372672752157,0,2,1
0.4378716986542959,0.6566691693970629,0,2,0
0.7132297412547899,-0.3596029053392595,1,1,3
0.10562289250307311,0.35434726977484043,0,3,1
0.987303372754536,-1.7022242642159007,1,2,0
1.0407692579225265,0.705569407745902,0,1,0
