cat_feature_1,cat_feature_2,cat_feature_3,cat_feature_4,cat_feature_5,cat_feature_6,cat_feature_7,cat_feature_8,cat_feature_9,cat_feature_10,cat_feature_11,cat_feature_12,cont_feature_1,cont_feature_2,cont_feature_3,cont_feature_4,cont_feature_5,cont_feature_6,cont_feature_7,cont_feature_8,cont_feature_9,cont_feature_10,cont_feature_11,cont_feature_12,target
4,1,8,0,3,6,4,4,4,1,1,3,28.479283506834697,71.86175416027245,87.08447758925834,43.29764084996419,7.593252621014257,75.88666113606769,5.176320978586801,47.13719643649657,68.78435210115266,94.58583326569634,82.81145995726324,57.378098383809316,0
1,0,4,0,2,3,9,4,2,4,6,3,30.74807086670892,61.14181411151438,41.31748754666141,4.2390686714134596,15.276946518393764,58.47611550907153,62.34154980938351,4.866751172206785,53.91781348223714,0.24342992449937206,88.94048832720406,17.25531291881659,0
1,0,5,1,4,7,9,5,4,4,4,7,31.826509211048815,4.637008791566721,22.60452202071832,19.024094964689652,18.09937285772987,50.67613637690943,46.93347665622846,81.04248568506131,55.86888788495128,92.0814242444825,70.96587453945058,37.74726562052647,1
2,1,3,2,5,5,4,5,3,4,2,4,66.78531855059718,88.10016611189229,56.84517541673104,86.29923176291886,23.132743219874254,65.9054816626887,28.115496781763817,47.539293423072024,89.68971247720663,54.25819514952971,89.26767170403288,95.90914416347707,1
0,0,2,0,0,3,8,2,3,2,1,7,39.836400851521525,28.314248397824514,82.28362070476017,31.99591279412728,96.32269875365049,56.296250028776825,75.25957677424351,5.842508863521168,76.71137335503064,69.71699591247042,53.37212748477158,16.3127261579442,0
3,1,3,1,4,3,1,4,0,3,6,1,10.160541026933622,40.674250244019994,22.631854673794216,53.60438432139677,0.7746123923423442,72.64872814824636,91.00403832670233,83.72232995152076,63.030459344077826,94.61135373340203,65.34777795224772,26.270649001132128,0
0,1,0,1,3,2,1,0,5,0,5,5,27.610124272482217,79.96087541939964,39.14265645528855,98.33654515073569,9.478351118828565,52.93671435794556,65.67781134365292,35.632020681717854,21.405178692621462,67.50173836496894,71.49779418898082,87.96724389254979,1
0,1,2,1,4,6,2,4,3,3,5,6,79.84169254815967,71.5755395983776,76.82941864295479,99.32074960361268,45.83929609825393,52.307635905239714,87.82883079601282,20.663954568556207,73.03694312882517,73.01634498122135,42.69375656435862,83.66082618289195,1
4,0,5,2,3,0,9,4,6,0,2,7,26.13165457124369,64.30324605111035,14.756909764096516,77.16501526250083,63.21927079591032,18.976102241975777,96.21856366654313,15.83880544951618,71.36590500500115,44.3870155980834,87.26931484406558,25.60218377923279,0
1,1,5,0,3,6,0,1,0,1,5,6,89.74313096890904,32.2007419904622,78.89298137110504,90.35486773588207,45.68383123679506,26.52014738630323,55.9081062348195,74.05027311252859,9.069014275568932,23.456270631604603,59.94921182022954,64.82380528738463,0
3,0,1,2,5,0,9,1,3,0,2,5,36.7835286853865,65.9752241658925,99.25727165518583,26.16502510376928,67.78509060023208,71.3599012465506,20.61357590842047,36.04184498462578,33.544877974702345,78.78969911946602,25.129099464202508,52.095327761086,0
2,1,7,1,2,1,2,4,2,3,2,5,58.222895600380284,6.4913735963906705,16.9012310333057,7.359691705851857,54.93156709856829,73.27657842063637,33.210343987103606,76.25599691631146,66.42037372990004,61.724390006527805,79.90263180340706,72.62956913205227,0
3,0,2,2,3,4,1,2,3,4,6,7,1.7485652441091903,26.442357553222873,83.96526725806966,77.63327433667526,61.976606802826126,2.59604215420145,74.95388697918193,16.594786525451944,94.99424273156728,69.9900938868845,77.20675864611036,4.8984257563246425,0
