cat_feature_1,cat_feature_2,cat_feature_3,cat_feature_4,cat_feature_5,cat_feature_6,cat_feature_7,cont_feature_1,cont_feature_2,cont_feature_3,cont_feature_4,cont_feature_5,cont_feature_6,cont_feature_7,cont_feature_8,target
0,1,1,0,4,1,0,96.66768241698543,54.91947847624989,28.29178911578153,85.25254403780072,67.84363794231854,44.27951612119,83.58225543697311,18.729123112693046,0
1,1,2,2,4,1,1,75.87466001420444,80.90519697854116,41.45472880446178,62.83234553348329,78.36474718047263,75.87623509673388,73.68591762742449,90.09313436977973,1
0,2,2,0,5,0,0,32.066191088504716,97.55088901364265,60.81940654406333,60.975412408647,43.49774840662942,58.982737813204864,87.22068539741892,7.5463822160093175,0
4,0,0,2,0,1,0,3.410383482321322,5.180359177968741,72.8420005087595,38.30826344388263,46.34941922436162,47.81793719232793,52.89607350973397,19.17316465833292,0
3,0,2,2,0,1,1,52.72224120220502,58.0234113372695,24.327995930507317,70.60604449066126,14.763217350593106,33.7607180067242,71.92752453048848,60.63784457482016,0
0,1,3,2,0,0,1,44.59568774737049,16.943139101883254,66.96787802752654,7.2090214816641796,8.517845938782697,36.605897317148894,92.8009869800726,83.5149504425868,0
0,1,2,2,2,1,1,88.98444777907135,80.28943268757608,87.32111759541401,60.285489989964006,43.69176298525518,43.85491493752648,79.26983887299103,67.65217663788805,0
4,0,1,0,1,1,0,88.9462261274485,87.07501246022025,37.13673732631857,13.35481191961948,77.2623838705612,40.248916880074994,42.17345447267633,10.855030894819429,1
1,2,0,2,0,1,0,91.4672702211504,15.913893897954734,77.87105558736687,10.5899234744399,66.91440029422989,50.9477319877508,58.10921743413632,69.72502275336221,1
0,0,1,1,2,0,0,52.79310620390287,37.85572821140403,53.964571312223306,88.37818628645753,43.78256735355273,28.455582343229292,79.45204475380022,25.095781592453893,0
3,2,2,2,4,1,1,50.32330640155542,14.784305742477944,3.402168993195498,62.097175382048356,20.30636204213705,97.4803240835573,90.08325796705304,83.66899023426903,0
4,2,3,0,2,0,1,25.925611296123552,46.6241918298779,3.7955426687407035,52.47670979400748,55.198400725049424,53.98062386464103,89.95285966657069,85.56690394626436,1
3,1,0,0,1,0,0,42.9120966181571,3.300431182372654,30.53526191810354,81.73125422994703,40.06702328679456,19.2455512795921,40.149054467584975,56.94693948590807,1
1,2,3,0,1,1,1,36.472205160838534,70.26347484303007,15.959558618113922,92.14870892085011,86.84107797660344,27.664435643128847,5.730558918152107,40.51877284143382,0
4,0,3,1,0,0,1,49.02017636495649,39.922946001810324,27.656695554914812,5.578914721229944,24.15711055052241,48.51579073982059,84.94487495062606,67.24804783844172,1
2,2,4,0,4,1,0,55.055992991090186,95.85310066057218,70.31595865238828,5.722357025652136,85.3116014935467,36.48042140630995,2.3218731439893503,37.79799818933155,0
1,2,1,0,4,0,0,20.06427365976,64.53179362458219,43.47846071157772,86.71831249301218,6.404589061658761,15.027063208111024,49.177891835165276,91.28231497968771,1
1,2,0,0,4,1,0,59.52704109157552,28.318095454663005,64.91475166429136,14.425382912916051,91.71122630377367,82.65529655426079,90.13128295081961,20.640828534468103,1
2,2,0,1,2,1,0,11.146370560816177,77.05893255463371,0.9290428467538914,66.06940879932088,32.652802522722645,58.423365502964174,37.34189804752413,52.88691719654031,1
1,2,0,2,3,1,1,17.56719759709531,33.000140708328175,12.306750304063263,73.6207381422474,75.02448177974611,6.724789818217314,52.19656303233297,61.93507131560732,1
1,2,1,0,3,1,1,50.37150307229159,84.79540919120468,85.57744902115103,87.83646955992323,8.075419896178337,16.65493970120592,11.257526484878577,56.83579529589563,1
1,0,4,0,4,0,1,43.85502562387351,69.69374910488968,16.954613928180674,2.731068177295748,34.34209552268749,96.23938735065464,13.42561521154697,89.70885423098547,0
2,2,0,1,1,0,1,56.673862152628004,15.607655037779244,14.069484281743005,1.0417150388502883,3.214069786523266,59.56700077367365,14.171055185149218,90.06436842555843,0
0,0,4,0,4,1,1,32.73233841409782,21.064502898612105,52.51437930214794,76.63694292001341,51.51432638980439,99.97834782007135,31.71192427741464,63.288765503479794,1
2,1,4,0,1,1,1,89.12537806707405,45.81505306460056,18.747086323027396,6.751241367284699,59.06391151502939,7.495907773742571,24.96854847365243,73.90349472651263,0
0,2,0,2,5,0,0,45.53359009693042,87.22613449457135,50.17637734363449,42.40036807659495,82.57785144977893,87.4570737487717,27.06304700737745,99.68078437561235,0
0,1,0,1,5,0,0,83.01036858822552,40.82190858101781,47.62062350737973,93.73273172617375,57.019214821450284,28.75002519416808,92.64443245381041,23.31445256768545,0
4,0,0,0,5,1,1,93.03773460389516,13.487086762368428,97.71284534025067,14.36202953605118,55.03832910906171,74.27157659193175,18.670999017502265,91.78364873449237,0
4,0,0,1,3,0,1,17.991719093842118,45.199055780554296,60.45921594089152,2.884841545190431,6.0112473175363945,40.84254576626838,61.69065370719953,12.391424521829908,0
1,0,3,1,5,1,0,63.39248767424177,67.6544007650551,69.71355668013854,24.790574448166545,30.733027784186618,67.5355811776803,92.2083273361087,29.59676209238763,0
3,1,1,2,1,1,0,64.1866538346195,26.360767750008318,17.181588825864893,6.611033843494063,30.571788511853658,84.0671627432751,79.25224396999681,29.55919313141938,1
3,1,2,2,0,0,1,92.69665318080227,32.88333661356223,7.102777641310054,8.589881749227036,18.645572727390903,20.794008173473955,13.379579895605243,41.46053887208039,0
2,2,4,0,5,1,1,84.52306775291007,26.733032730005313,37.86929194005143,92.21890117132581,41.65265218023483,97.37333087568165,82.5743780987984,54.47708400677479,0
4,1,4,2,3,0,0,61.72734200441429,1.7652244900722924,87.77205880103665,87.86010233698617,84.62341646744089,95.5327260454469,1.1192280420423306,23.446888291052648,1
1,1,2,1,1,1,0,29.858125822264935,99.12935288858117,22.516426719262107,22.084430533859923,82.97417234226747,19.40557508764077,44.536267180788755,64.53650882426689,1
3,1,1,1,4,0,1,13.349527771046809,49.206264594406626,39.26688577702766,15.567278477225022,7.663903247934112,56.54213631339887,10.300331691101894,93.6712922132484,1
