cat_feature_1,cont_feature_1,cont_feature_2,target
3,22.57093386078547,38.10161240622142,0
4,71.29889803826767,74.98583107261435,1
0,55.97169820541424,51.11414782971282,1
1,1.2555980159115854,54.095180496218866,0
3,7.197427968948677,95.94343210617524,1
5,96.7276330000272,80.39608914986468,1
0,56.81004619199421,3.232306662357398,0
0,20.329323466099048,70.93872512312952,0
1,25.232574457032342,46.500148156350605,0
4,74.3825854075093,94.75489413950999,1
5,19.542948110931878,22.14327343234883,0
4,58.135892727325775,26.70720196843658,0
6,97.00199890883124,8.1473964877262,0
1,84.68288014900352,42.86188286637865,1
2,23.984775914758615,10.90187640190683,1
4,49.376971426873,63.37867606119178,1
6,61.99557183813798,80.29632373737378,0
5,82.89808995501787,69.68004961201785,0
2,15.679139464608427,76.62113810757705,1
4,1.8576202177409518,34.24541198435198,1
3,7.002214371922233,84.58514830276776,0
4,48.63451109370318,42.87687749994426,1
2,60.63294616533304,82.40098704123187,0
4,56.88514370864814,62.64961586242938,1
5,31.736240932216077,14.342304867024492,0
6,98.8616154412449,7.838689985494796,1
2,57.97452192457969,1.833264291300729,1
4,38.01411726235504,6.6724997639356465,1
1,55.09482191178968,45.85838137084318,1
1,74.53344309065021,11.334192276759048,1
6,66.92328934531847,2.7783348848669953,1
0,26.491955766280938,75.48614813904673,0
6,6.633483442844157,39.485048046063945,0
5,37.00841979141063,74.69384956075251,1
1,62.97175070215645,45.24048267464516,1
1,21.01740099148396,45.008674700076114,1
5,75.27555537388139,47.807250671783095,0
6,6.653648135411494,47.4003926562194,1
1,26.031509857854097,80.31633421141696,1
1,80.47545637433454,40.239251985773585,0
0,19.343428262332772,90.4686160343623,0
4,63.94608808799401,3.7061047954035864,1
1,52.46703091237337,77.38743427204187,0
0,92.48079703993507,12.564138113773883,1
0,26.329677048711098,61.85135669120855,1
5,6.596109068402378,1.036426133523194,1
3,73.50659632886695,53.86272825763469,0
2,77.21780295432468,0.30179566195963625,0
1,90.7815852503524,95.11937854902045,1
0,93.19720691968372,90.54020337027781,1
6,1.3951572975597015,79.59669419422694,0
3,23.43620861214205,91.52743199147875,1
6,61.67783570016576,14.555823115839706,0
5,94.90163206876164,15.773006987053328,1
1,95.01761192470796,18.7631672902434,0
1,55.66531881951564,62.249590229992116,0
3,91.56063497662745,90.58094960083018,1
4,64.15662089463375,98.99551783590736,0
0,39.00077141412462,71.1122458765816,1
1,48.59906670969097,73.18004091422952,0
3,60.43104829199733,90.92932045442545,0
4,54.95479215085626,40.08737323711209,1
2,92.61814267064537,24.985068022503675,1
4,91.8733435633606,17.343017078712286,1
0,39.48756129235549,11.9457050333729,1
5,96.32625284407118,81.26105880328286,0
3,17.395566668046435,14.679237341724317,0
1,12.632951943963732,26.42974827269007,1
2,13.507915804673132,81.90891786335308,1
0,50.56621656768967,31.058725179421,1
4,2.152480527419798,98.24174492929428,0
1,94.7970211217681,26.66387021516352,1
2,82.71154711707325,53.36533449712114,0
2,1.5018980742122379,31.44670111858496,0
1,17.619625557505525,91.07728311738374,0
0,33.206357436683696,36.655664385123444,1
6,13.099684481091689,43.35923272731645,0
1,80.9490692126582,51.22926922783614,1
3,34.47366526832935,93.88864773697134,1
6,94.01074823333671,3.0949006271150714,1
5,58.201417994708,71.68786636316892,1
4,87.8831984411844,89.10189542923389,1
3,84.47344453922219,2.7287223517468817,0
5,90.53923187086492,52.205124725251075,0
1,45.9880265816807,32.59898117700253,1
3,54.634681602037325,85.94893208655859,0
6,79.86035911520393,55.85165509225178,0
0,28.571885173414756,69.02278681627479,1
0,49.02535226199277,45.285349995153744,0
2,59.911030764587835,62.83090375213571,0
2,1.5533275550835723,29.009685168742582,0
1,59.34814081966372,0.9348577966515781,0
3,43.36763489894583,57.67559349870908,0
4,80.73605288848414,31.14442141324628,0
2,31.524480309537296,51.72675985011298,0
6,89.28887085251513,91.64058530538978,1
6,57.78572152845355,42.6474788501396,1
0,18.401020162746505,24.73960366023854,0
0,78.79292338255043,37.129376127905445,0
1,61.203117704493394,93.18611166365406,1
1,5.390927207375295,93.68683813090936,1
5,42.019368000113225,84.43299485657133,0
3,67.90688365654296,92.02065143056605,1
0,91.86017779775258,22.790028995131696,1
0,0.04020248913574331,8.748220955359088,0
5,97.67591490310596,22.730973628468874,0
5,37.65803147457745,31.437661611405044,1
6,97.37835383583226,17.47658763563116,0
4,60.4716100974053,60.70941619724605,0
5,82.8845807980693,41.358641500116136,1
6,57.47115047081023,81.63515118272142,0
2,62.80761983073504,18.513039826903068,1
4,28.557628169569394,70.18765297563104,1
3,58.68333406560829,24.035562484913886,1
5,75.002176370266,57.42190888408597,1
3,85.83138364290423,34.898759722078886,0
5,75.50821884676802,5.696439948283272,0
0,69.80572484473029,22.881367096037586,1
3,86.44794300545998,66.41025553547935,0
4,32.26809968367464,49.72500933605313,0
3,67.07887907875872,51.90159840736788,1
4,45.08739364133491,17.47201501089225,1
6,38.210275203151724,57.07158515462564,0
4,41.08113499221856,99.675342520821,1
5,40.14795834695406,81.68351087916218,1
4,31.73839459582769,59.437262383097774,0
1,62.19193679203015,97.5989068330905,0
0,43.02472708212643,90.15625846693213,1
4,97.38020779272523,59.560793360264555,1
2,67.78008914343111,3.2426325314457105,1
0,19.856988842711086,9.357709581748075,0
5,42.67010093480328,6.537171504222639,0
2,34.334623977442305,45.17331486914753,1
4,79.76388039585666,37.543483316785775,0
1,87.99982885634317,97.53500342702866,1
1,90.38419558263719,16.798329319961493,1
0,66.27198123752622,97.27875919326551,0
2,27.02082620297578,76.7474868863013,0
4,25.236670150458973,82.42378396244978,0
4,85.48979426974024,63.261581677799725,1
0,52.77146463087467,66.8732770206732,0
4,80.2161084004598,47.68823335211933,0
1,57.24885171916063,1.3136356923072245,1
6,73.31425252875111,35.300608554182475,0
4,51.90116274640558,49.20718014935584,1
1,77.0883910501888,73.00912110901044,1
0,56.885799070471556,46.86283427461092,0
2,46.570987859198084,45.74049160894317,0
3,34.268890795328176,13.766274094560316,1
1,6.820934841670412,1.088873380347899,0
2,37.79241793280998,75.82782604769962,0
4,7.962607769825237,31.995283807767837,0
4,98.2817113730445,98.43834501935108,0
2,18.161285133076376,22.0234226159156,0
2,81.18586977205398,33.870802548167966,0
6,87.49616449558981,52.38961356661317,0
0,68.84132523859434,75.48914570605328,0
1,56.94944127453757,46.385778390029564,0
