cat_feature_1,cat_feature_2,cat_feature_3,cat_feature_4,cat_feature_5,cat_feature_6,cat_feature_7,cat_feature_8,cat_feature_9,cont_feature_1,cont_feature_2,cont_feature_3,cont_feature_4,cont_feature_5,cont_feature_6,cont_feature_7,cont_feature_8,cont_feature_9,target
4,0,1,6,2,0,4,2,0,30.549950899614963,67.03129090509943,49.196797775837645,71.69503235366884,89.15521471020347,92.97575072905335,86.28466505882736,82.9149806614331,95.61779859293745,0
2,4,1,0,5,0,0,1,0,14.711101795181502,75.7818281934012,23.419585124132503,97.19161447921786,90.21159059153261,44.8786861671188,68.27426823780289,2.918974826619858,24.26583891928571,1
2,2,2,6,3,1,1,2,0,12.805105878596612,22.489888207962984,8.72798180912503,82.3798194141326,48.37979214928514,1.2627335726663969,91.43665808987893,72.7392070618375,91.50418994684279,0
0,1,2,6,5,1,3,5,1,60.6977446327122,9.801990132011351,27.478844433393313,27.20418872673218,43.52049464568596,58.72349529604964,12.1453899230334,65.30721518887151,88.0379961078307,1
1,4,2,4,1,0,0,5,0,9.329232019331545,46.231627819952294,94.19460870402203,76.08420883401119,71.22386761569595,14.563082826701146,22.34828492232326,44.89276400050649,51.72677454850927,0
1,2,2,0,3,1,3,0,3,80.43394706837641,46.311899935536246,81.60727109949256,69.39185162835895,71.40914947388312,39.560298061313524,74.49296988311265,46.06747477503459,82.18491441634818,0
3,4,1,0,2,0,0,4,3,8.138023153933426,18.912075128206986,48.01847879032677,1.0707143705960709,73.17845180447749,95.39451453373385,54.705337709651644,78.4835747514859,96.09298747946629,0
1,3,1,0,1,1,2,2,3,59.29380431664257,54.73472664535883,50.38999954575879,28.67761934327142,8.053764337940194,0.8762598479723271,5.5023556136975404,58.193852756504626,41.68491117951386,1
2,2,2,4,0,1,3,1,3,42.29986519905729,33.46651483231192,0.44398986850999744,77.72214175288147,61.400784542505946,49.866531293486496,20.741816425763602,4.179786810299813,42.81011940009542,0
1,0,0,6,2,0,4,0,1,84.88783254454356,83.68700895945341,74.77650244517878,61.41063504682006,40.01848070387888,49.9189568750258,85.83498768538898,28.306166862696237,47.68410750536426,1
4,4,1,0,2,1,5,5,2,47.78257850730581,67.90600796414739,11.228344538385148,17.5073878525833,87.67841741022,79.05252170004835,5.44531374845918,59.37154000297051,28.84868789913653,0
4,2,2,4,0,1,2,6,3,47.157608868283816,36.005556842802086,30.88843815928358,80.2464608236387,40.12856166479132,64.4750690566383,66.88272511548307,42.41621917980728,27.72825008097558,0
1,1,2,0,1,1,3,5,1,34.535951050939,78.35015320425904,19.460924986591664,53.59460095046138,36.244009793176005,29.625100583691243,65.82459892712133,55.91432142876229,12.045198117371536,0
0,0,1,0,4,0,3,4,1,93.46132059647452,52.975424826096486,70.04158549989486,23.938583659036894,92.9603595390503,81.41953638840707,78.35396492305425,92.11186744151341,25.647059046709675,1
2,2,0,3,3,0,1,1,2,22.88329432804752,68.65037335312807,82.92192839779364,56.14732660889543,72.33288272959942,47.820078243362715,8.983687568831023,8.507598761437851,45.307398359051064,0
4,2,2,0,1,0,5,3,3,99.52677705793201,73.61260250173166,38.922610152758466,1.2024516371667349,70.38116750617544,32.89663045421318,98.61445664443936,80.86465799544163,69.86524134890092,0
4,4,2,0,0,1,1,0,3,11.413582072559292,92.19339665754873,93.4893016378423,52.9628030295489,81.47826302007539,9.692223523553567,67.15398433632114,60.99074825121868,79.70563032707422,0
3,3,1,5,5,1,1,0,3,51.45929807303825,52.555678157189725,2.824245886057497,0.39016606070533255,20.54918416436187,61.116639415497986,22.60929287533051,50.75924609727744,11.270436479526047,0
2,0,2,0,2,0,5,2,1,11.593137560284838,62.79345578341171,70.12881712798321,70.98626286689519,78.48983113645464,35.818803622226305,72.13807578666216,10.827183086256898,28.558048022515482,1
2,0,1,6,3,0,3,5,2,31.704944808696432,14.59099966313766,1.869720010307363,85.76209547481596,53.90200282537673,58.353500414445826,84.63520980798324,79.90504937507602,25.070687716925168,1
1,0,1,1,2,0,3,5,3,90.32243618669156,82.21400549612258,92.73148596920765,14.85476884827378,89.62176696379075,12.479933961820254,14.465156191374406,58.55061109277258,6.423289142244815,0
2,1,1,3,4,0,0,7,0,77.81102001626131,43.95195062395641,55.165543887482606,19.373118351012366,94.94587183088646,70.64169892900891,69.02237528297384,13.441076599553725,76.62210839422357,1
3,4,0,3,2,0,3,1,1,6.667097586326065,84.70239195335506,87.8535260614635,28.791191117923475,29.915612446591243,7.592689927988228,67.07979075877469,99.48307831848643,19.842356956316898,1
1,3,0,2,6,0,6,5,2,94.2870911755698,43.576499285001866,81.89526805325427,94.52520845113676,90.88450601037667,1.3935298802688845,80.67184112979501,6.247714566342177,26.8379314227853,1
4,3,2,6,4,1,2,0,1,82.62372897528228,86.86471255320929,0.9625725048213574,88.56589626682727,24.858081213186868,50.784532042899265,82.72991724387873,5.962081854104195,50.92537863663681,0
0,4,2,3,1,0,6,3,3,83.78146149237392,29.11044932329063,13.779082099714746,10.786160107145248,46.077659866462284,39.899588653996844,91.9046558215459,12.055193639556238,63.17445505449256,1
2,4,2,1,5,0,1,7,2,74.01354845638795,33.89973121553144,89.83153649121644,72.48458913710586,81.53642300365432,26.121659803754238,95.58878197983618,51.43022013747648,65.64311654550308,1
2,0,0,1,3,0,0,2,2,91.18907623078223,77.54351496384433,59.943020008277934,74.84640246344631,73.8056898730867,16.734566702011534,83.90346877794256,33.69606197491931,60.71410495074135,1
3,0,1,2,0,0,1,7,2,46.93266475754054,79.20965432580711,34.28006277648541,18.79435527448391,64.46509165451906,47.667669124882295,99.60049550353499,79.4528584621051,42.25634604077061,1
4,4,0,4,1,0,3,1,3,60.99067725316088,19.504948879045394,30.152235822690333,41.31973634989111,13.397740630715315,5.5644903262595635,64.95707712666675,81.97133110337145,3.980608290713461,1
4,2,2,5,2,1,3,6,3,69.83922814215123,65.3024333978809,92.31730176285052,11.177857657119905,34.80881190898031,2.273668669461981,9.87709601293748,51.667953424656346,77.35463661681061,0
3,4,2,4,0,0,0,6,2,67.22696795212445,60.42403319087247,40.368379634014794,51.72425400087246,48.15650571910262,90.30202683172884,19.03875537944122,62.87177972341136,54.25580166612861,1
1,1,2,6,6,1,1,3,2,45.4419305127418,92.28572736083159,51.83500682269941,60.44941965173635,24.867634611494328,56.00256014090288,87.84718921018505,71.02786891064483,45.56219914672761,1
