cat_feature_1,cat_feature_2,cat_feature_3,cat_feature_4,cat_feature_5,cat_feature_6,cat_feature_7,cat_feature_8,cat_feature_9,cat_feature_10,cat_feature_11,cat_feature_12,cat_feature_13,cont_feature_1,cont_feature_2,cont_feature_3,cont_feature_4,cont_feature_5,cont_feature_6,cont_feature_7,cont_feature_8,cont_feature_9,cont_feature_10,cont_feature_11,cont_feature_12,cont_feature_13,cont_feature_14,target
6,3,2,3,6,1,0,4,7,2,0,7,6,58.95641272090151,19.33507804464125,33.820405543364885,7.782405234906831,63.078903929218946,15.945817361599135,95.73156040894399,61.76209591302519,65.39715609050866,9.709467528249771,12.991839678104611,96.89002894153282,65.12849279955694,93.78178330692693,0
0,1,2,0,6,5,1,7,5,2,2,5,0,96.01279452596879,35.42623681436991,25.17538975862974,72.74850349291152,34.45165031616103,84.86114988667262,49.19758132984647,34.32333001557538,33.49924757308521,15.92500140441986,17.723916366200587,91.5474148213039,87.93308843988491,4.497910148770822,1
3,0,0,2,4,3,1,8,7,3,1,6,5,31.279592009579147,99.50538116917396,43.99573314347387,49.364328892016765,84.55279927673328,90.26921135332661,16.742222638952697,67.34349473371157,38.04733590636984,64.82197384219056,98.5257668893858,0.9902580601090838,22.267393969852577,39.264074152149185,1
6,2,0,1,6,5,1,4,6,1,3,7,3,32.358210319648265,96.46810728675607,52.350491452768644,17.00762399419903,73.21842160916245,35.91093832773392,73.86560102379362,30.627778412396722,69.40654442190052,65.9813409028877,92.62554330241169,68.4936858628864,61.57329547672457,42.969471248401206,0
5,1,0,4,5,6,0,7,2,1,0,1,8,44.01934707065583,76.25815874217226,99.21287282343482,29.617239194271473,63.711137566487,9.851198877857147,67.58864934718403,7.65037828056514,30.54038482756948,57.04464833419407,41.04196063914374,1.7596665667640954,68.7917170246864,39.773919282220085,0
1,5,1,4,2,4,1,4,1,2,4,6,7,81.96263981706211,74.13358882164658,10.757769423423124,41.75091116141556,2.848166491435178,38.307491319980315,10.09293395409584,64.73414467806317,0.7599635155946416,70.99254837907874,7.458336582890867,52.07932396842128,26.60392474106301,72.45523971692171,1
6,3,0,4,6,7,1,7,3,3,5,2,8,1.380715915061581,94.14393026629108,38.31666534342867,3.410864742567643,54.37029108452025,86.27958679022177,34.14962097831534,53.6718022801428,5.6435011394178725,57.28771979772358,19.635678726086248,62.62712286056089,22.551109105271284,91.75291516686038,0
4,2,2,0,6,0,0,1,2,2,4,5,8,88.43867822767135,20.04070547347856,53.753455565680476,60.33198250439467,76.53990408401981,95.82591522383956,20.74467695890858,83.04924975506596,63.2218440486615,74.73900486348872,18.74309203127461,44.575817952925334,61.72550966992056,19.074541992924853,0
3,5,0,4,3,7,0,4,4,3,5,5,8,36.41098507440294,51.07570387569136,80.96832262970266,79.15883472472548,85.96622084701029,46.98778336971247,43.78447352359171,13.995091740696319,86.46012035890979,82.13282119892904,41.78941433951003,78.93620936424624,65.57914976641204,45.41736583058233,1
0,4,1,3,4,2,0,7,3,2,1,1,0,35.23465534509196,27.855943875390253,64.96166831949711,65.76606827840835,21.197476208012123,28.832578643785922,70.97016567617605,82.904058201578,40.92695175411127,98.18989945772039,82.28166341759646,51.6885236939244,2.9460329560765497,99.05084081437539,1
2,4,0,1,0,2,1,8,3,1,2,0,0,53.51208189987234,77.52959357641612,50.2786919919828,35.80407131197797,32.353101721707,95.6775330617114,15.706344363347057,31.735558512415196,68.09611608783486,30.236931111753428,41.221382360016456,75.41801312550001,32.87888320379329,15.161294951083038,1
1,1,2,0,5,0,1,2,7,2,4,8,0,46.26954375262752,16.641825063935624,45.52702423824401,65.04661795172854,27.897438678801713,5.446205470376775,73.87617112619411,46.064882673714216,77.23785662575065,6.208704898505324,37.23531580555538,13.935773574305198,30.5695441594251,40.632401049387,1
0,1,0,4,1,2,0,6,3,3,4,5,3,42.547571033931106,3.2559849576640154,21.388077988156507,86.64907492384482,57.280532345188085,53.05536189980261,98.49719108997567,31.229654117879647,48.83093908012849,0.5390499023250617,80.58888617206844,51.53179040862691,5.14173458219509,10.647110123494507,1
5,3,1,2,3,2,1,3,7,3,5,6,1,69.25788880282798,28.77239901420895,33.23774210343841,19.96678206403083,6.968566183114677,1.0021794557162567,3.8518045698455405,98.64613730533628,81.76999616941205,50.19098674705225,40.02349174191016,16.409638516260294,20.99322248769854,2.552534647499083,1
3,4,0,0,0,2,0,8,0,2,0,5,1,4.687808475596588,1.9429687837566156,95.21312994071116,8.064678838919104,56.29050942015398,30.937462452167075,3.3387502844414163,84.79239625376667,93.64033659766905,84.6253944192894,48.05782549015001,55.69817788045184,78.47750330948153,85.14752401310093,0
1,5,0,1,2,0,1,3,1,1,1,1,1,51.63010829208691,88.26069958332019,72.7836914672474,64.63501178954793,95.57937105006215,62.099609295113,18.347565612517847,11.7070608246563,2.025217664805057,47.21632794211151,42.752338958251315,28.018581245610086,71.43030261922456,87.41269832282164,0
5,1,2,0,6,4,1,0,7,0,5,6,2,85.85312611447472,44.55029672908402,60.38968200815168,38.621790730490076,88.8954084337835,0.6188319093561323,48.63911775336097,68.7311457895214,37.39956745189532,24.85442995991125,85.5394094184818,63.10266479755825,68.31643739588033,66.75768277524926,0
4,2,2,4,6,6,0,1,7,1,0,6,4,91.4986159311887,72.0068934182056,4.5888868100951825,11.683863156391173,84.74567101551688,52.675836651730535,45.06370860724761,20.93749971888027,95.8345264170684,72.14308688575629,42.59608829806959,37.420692314790614,22.90715894534513,84.76806672957817,1
0,3,0,4,1,3,0,0,2,1,5,2,3,5.0103905774224184,82.97419787825964,18.08995778145818,91.38989758230373,9.824489169672358,23.586513510983977,65.99108806635347,16.552182239464386,99.65979101596474,94.20493213698697,85.1446264052676,31.839093802249685,39.20573474916782,52.71184293003549,0
4,2,2,1,0,4,0,2,2,0,2,1,8,14.967371246296302,37.905018606124486,25.203618379378334,36.60596578946828,15.646173883375802,98.68989374145085,24.732153411497148,91.15146422029075,62.08226231206277,48.583219352115925,58.52264377810998,85.45846146899046,47.232495095788096,4.450107610810717,0
6,0,1,4,0,5,0,0,4,1,5,2,2,41.24345008905441,87.49971117970307,38.268345612364094,56.65224340823942,45.78116609459432,7.385630260385323,94.0824519212344,6.610502773492721,80.82395244752699,32.86039311068147,42.92429947739858,4.257171207014321,25.713299450621662,23.738640832279202,0
3,4,2,3,0,6,0,1,3,0,0,7,5,37.85527904656176,49.04682850343987,24.375827063486643,61.152664837998685,50.683459713502344,39.336325560731886,1.1386050290130845,42.05927629216043,63.842844694166644,52.1687067543666,88.59158891985619,42.33367974954738,37.06687091589801,28.508153125563428,1
0,3,0,2,2,7,1,4,7,0,3,6,5,16.262662499380774,14.096888055117052,88.41302108839714,57.45958867271025,65.99865220768625,20.502742381379534,11.10060639408712,29.21873327050255,23.18412949733666,97.96611780032765,94.55242350192357,70.31051498384804,3.501760447339941,88.53771817411,1
2,5,1,4,4,4,1,2,1,1,1,8,5,65.99831640814125,18.144654591428157,70.84110426628536,43.69481553774166,72.29958665269955,83.34866454203107,4.0608718041733605,74.17870951198312,23.705160816066805,6.089398243476207,44.43313790360831,97.65824885280895,66.78886481465634,44.53983572077714,1
