cat_feature_1,cat_feature_2,cat_feature_3,cat_feature_4,cont_feature_1,cont_feature_2,cont_feature_3,cont_feature_4,cont_feature_5,target
9,2,3,1,36.75626522229071,64.38371218302643,49.48688752815878,82.60445757568412,47.482051772531754,0
3,2,3,0,86.26256235551489,47.85980445162418,22.856668488888086,94.14142312113368,0.698619859336036,0
8,4,7,8,54.55177682221789,19.905356455699106,20.937525694148405,84.8024309409027,30.163583301285257,1
8,3,2,2,59.115335619249585,15.44232597163977,95.17818640006787,9.056380813771659,42.713626807405205,0
0,3,7,6,67.63566396745568,49.28985369491995,37.15345972105087,93.54160362086755,50.597175854493834,0
5,4,1,5,38.731040896468585,69.22226526384537,44.84824720998556,11.69436897759153,81.81225326287056,1
3,2,5,7,30.35412113121685,75.01262507866294,65.39978547818923,59.33721207420041,62.49627934276889,0
9,0,0,9,91.12428890561414,5.665028577186105,10.856350952693328,28.344113715146168,1.1863082182773321,0
9,4,1,2,23.87551108104764,16.790118450153823,81.3762096676821,33.39358416221931,63.640949357507345,1
5,1,6,2,12.648136694664991,66.22062087420377,80.79006577835322,88.68449615743306,47.509234829062905,0
7,1,4,9,57.833851247964695,76.15844103025867,87.87995679355075,41.88301665800186,9.76108549751954,1
6,1,3,6,45.0516333023683,73.86145905425342,56.931352662407605,76.57909074626512,94.76905373529983,1
0,3,6,1,31.27972017588492,23.497276874062646,89.51537653230703,28.943609501583932,93.04097016361538,0
4,2,3,5,79.40269497594159,34.15864008185695,75.3908612359979,27.20712124305281,89.2234549149093,1
7,2,4,8,63.76685394950435,45.201054837845746,84.9420935589159,41.35679742954357,60.20787555728144,0
8,4,1,0,97.58480977769449,65.21842346725903,21.984345310724084,98.71723100828966,11.216814769301509,1
1,3,0,6,16.74387526959711,81.64191813539755,53.192240352964824,20.450843340340995,85.38669167780498,0
6,3,3,4,65.95931709922567,41.63046890681592,24.14174992171948,65.91563621371883,78.64957263184411,0
2,4,1,1,27.518345714041736,93.50219259260193,73.04707525887841,98.67351060132596,38.064305301489554,0
2,0,0,1,65.63278264148347,87.33893874208728,35.704616955695855,93.90131808748943,31.621751998614013,0
1,0,6,5,21.406816250092085,28.45497307356375,2.8470443118392863,60.85041841479831,97.27357373617856,1
3,0,3,9,82.82966555976239,94.50528520997878,72.19562408883529,81.06943012412104,20.191733551917444,0
5,4,2,2,38.549220737165925,86.26414841987209,1.7603830882972793,41.77120725191538,98.15258097844972,1
8,2,3,0,29.420558509264637,11.86456428628303,35.4150334085246,33.960922802425806,52.94682919923226,0
1,1,3,7,47.30044861346582,59.23103698840374,50.256208842719104,61.26828784395454,30.019661416011644,0
8,4,2,8,35.66940762507394,90.6309798702019,69.34998899986834,34.32512950598445,72.64851240114125,1
7,0,1,3,56.230218734811274,5.527185780375632,46.31546146352855,62.70388639765706,43.79411819967228,0
8,1,3,1,70.47098205873945,25.322623232480957,52.78616161879206,88.73130963244947,40.060821189278705,1
1,0,4,8,90.11233622255551,81.22771194814497,59.03869973624559,52.63218448763824,94.98898648485807,1
0,3,5,4,94.79514763878854,70.89373025441883,65.42555537813045,90.58463520806754,89.62416958785978,1
5,1,5,5,38.99687031917717,55.69337078706064,0.7280398073183258,24.732871177714955,71.40464434524083,0
4,4,3,1,8.752603119442249,4.270417299748552,46.364281488301614,47.426283932829904,38.51936851572088,1
1,1,4,9,47.818885757043276,31.623534330844183,74.74464983245849,65.21556307405606,49.10336647318352,0
5,4,1,5,6.369690156937258,30.43935338511008,72.05812986424574,22.364617759401227,40.61506963010093,0
4,3,4,7,65.20476359211003,11.251033606860094,24.09603420946418,23.99788858189904,44.65989576215521,1
7,0,2,3,4.244522264485062,50.013573392363675,94.94121452179745,79.83134022405255,90.93775420526786,1
6,0,6,5,82.81021924219141,29.611980153417694,9.642385954468535,49.72358060054274,1.3566604715353425,1
0,2,5,1,72.85534218530083,49.10292411005488,9.96652082054168,70.31295551792945,70.5971254026737,1
0,1,0,3,40.51295272981359,30.791328718639544,97.468777327972,11.947933106808373,75.94380927976555,1
9,4,5,3,79.27860747487901,85.18096151994506,92.13724436713781,96.5045284830358,63.33779431637484,0
2,1,5,8,66.46782239964357,37.0816319138324,88.6178876941871,48.71946008432333,39.51034373911645,0
4,2,1,3,47.62060533804271,0.38241747535952,61.00621035976452,99.85314697445853,78.82668142537872,1
5,1,6,5,83.66703774981637,67.72944003956823,18.200589089204822,72.51283389329076,71.15873750890329,0
8,1,5,8,1.579746745321553,26.342657894870534,55.26326077004041,93.53993238101211,39.54809278133949,0
8,2,6,0,87.80212495056861,41.767551165692026,50.604098892385295,22.858127800228456,11.701321411370447,0
7,3,1,3,3.5581704630239908,36.03514953699324,87.46810026427683,43.216153787120646,35.647573481114556,0
5,1,1,3,82.02922716806086,21.863099176036926,62.78355504384665,80.14387308903103,58.6079604031598,1
1,3,6,0,41.71039493882886,74.66492908244543,89.97991133250336,28.507277930766463,53.92501112148024,0
1,0,0,1,64.4316154084714,80.5364029008224,76.67865475701835,78.21013373732569,84.81148714531315,1
1,2,0,0,53.55195680280336,52.63733474114118,96.33783270317252,7.416984819723194,66.35023439388499,0
5,3,7,6,80.39202815778968,66.43181706239015,2.7987072965659943,29.982522505365207,82.72224426700284,0
5,0,5,7,84.9622270345597,60.381185344196076,29.17052032130605,55.25201211571097,10.414516493379967,0
7,0,7,0,7.585694587746305,62.77750490539782,94.85735511609916,89.81044155151389,5.05940541531854,1
4,4,3,9,13.351829717777708,65.97089763394631,22.746219596700367,42.22943763617699,55.48943239574219,0
3,1,6,5,33.69086460537939,51.39875903798662,90.95969696384599,2.4032273808281435,47.15329789783249,0
0,3,3,9,26.124516815061703,29.89541327465214,86.92797396492799,8.505581871307689,70.74545520877716,1
0,0,3,3,42.99122026395327,57.53621187372507,33.80632020931523,23.215884138835452,52.18923617475719,0
0,2,5,9,70.6762082261632,7.843529961559481,70.75585269515749,59.78443739798871,32.03706220234801,1
0,4,1,9,59.72034021501869,20.737468422774775,53.843520256604904,33.61299585912189,74.84374353546566,0
2,4,6,8,70.71525319889524,69.77067846607432,51.98625360791694,58.24845131240303,67.05014981400139,1
2,0,5,1,64.30674148364483,94.96011244874964,51.53494170874245,14.21342851912385,73.79880304751244,0
7,0,7,8,31.56768051563934,22.479572858568464,68.07143880848776,31.21570629250121,21.194904593438423,1
0,4,6,9,33.95944045425713,95.6016331880431,76.30727049552155,67.69148006055325,50.182249082621375,0
5,1,0,5,25.97568167336297,7.300376465766279,80.6046984725791,31.54952941870135,1.3852320275350993,1
0,0,0,7,71.05823013083517,59.67513402225853,95.11820183790023,79.079399216151,22.46896834653689,1
1,2,3,1,27.834720574174032,94.47602775750494,63.43296562157399,79.90473458853243,80.23318899162425,0
4,3,2,6,58.94795218633612,57.471247529477196,46.92253471690263,41.15495870060221,42.81405482413692,0
1,0,5,0,48.25746820911786,56.71566993282222,31.691870678234558,3.3101772239324423,52.78953118840446,1
2,3,4,0,10.089256437807158,92.21836015384113,73.69048337819088,44.80887281916416,40.78449529667068,0
2,0,1,0,41.68056311338132,77.65059561821617,54.34619726712124,46.91341259145479,33.685018266012065,0
4,4,3,7,24.95107512064051,86.79824536820848,85.89284487572351,33.855390354163184,40.19868350225929,0
8,2,4,0,36.51190899641975,29.364574384448407,81.03296900695507,69.84462780236646,1.6693415579176807,1
0,4,5,7,98.19750716667721,57.74031550632053,35.13954094752656,23.47325492628938,86.67673957603249,1
6,0,3,9,86.94816294180706,54.90216254893294,19.292107508709666,44.042163332053406,59.15944376734781,1
0,0,6,0,21.975458695817128,40.14493315914691,36.092312901350475,85.81699882584168,61.20057604304395,1
4,4,3,6,97.2929538728945,30.925572004515654,28.21182526164837,61.77571751174017,53.67806588524525,1
